Date,StartEquity,EndEquity,DailyPnL,Trades,Wins,Losses
2026-06-24,1000000.0,994573.67,-5426.33,2,0,2
2026-06-25,994573.67,997420.83,2847.16,4,1,3
2026-06-29,997420.83,985765.78,-11655.05,13,4,9
2026-06-30,1000000.0,994503.59,-5496.41,2,0,2
2026-07-01,994503.59,994503.59,0.0,2,0,2
2026-07-02,994503.59,999123.64,4620.05,5,3,2
2026-07-03,999123.64,997440.77,-1682.88,5,3,2
2026-07-13,997440.77,1004152.57,6711.8,12,8,4
2026-07-14,1004152.57,1005245.89,1093.32,18,12,6
2026-07-15,1005245.89,1006970.7,1724.81,24,17,7
2026-07-16,1006970.7,1005343.09,-1627.62,27,18,9
2026-07-17,1005343.09,1016908.85,11565.76,34,24,10
2026-07-20,1016908.85,1016303.57,-605.28,39,27,12
