Date,EntryTime,ExitTime,Symbol,Side,Qty,Entry,Exit,GrossPnL,Brokerage,Slippage,NetPnL,Reason,EquityAfter
2026-06-24,2026-06-24T13:38:53.310713,2026-06-24T13:59:01.964173,NSE-NIFTY-30Jun26-24100-CE,BUY,65,149.3,131.85,-1134.25,60.0,9.14,-1203.39,SL HIT,996403.23
2026-06-24,2026-06-24T14:56:14.599568,2026-06-24T15:00:05.305303,NSE-NIFTY-30Jun26-24050-CE,BUY,65,157.5,135.65,-1420.25,60.0,9.53,-1489.78,SL HIT,993205.42
2026-06-25,2026-06-25T09:28:22.819608,2026-06-25T09:41:14.465677,NSE-NIFTY-30Jun26-24150-CE,BUY,65,123.3,105.4,-1163.5,60.0,7.43,-1230.93,SL HIT,990899.05
2026-06-25,2026-06-25T10:48:46.097650,2026-06-25T12:15:04.383127,NSE-NIFTY-30Jun26-24200-CE,BUY,65,109.5,151.7,2743.0,60.0,8.49,2674.51,SL HIT,1000144.33
2026-06-29,2026-06-29T09:44:03.787675,2026-06-29T10:15:58.952873,NSE-NIFTY-30Jun26-24050-CE,BUY,65,108.1,90.05,-1173.25,60.0,6.44,-1239.69,SL HIT,993676.7
2026-06-29,2026-06-29T10:24:16.202526,2026-06-29T10:31:20.239033,NSE-NIFTY-30Jun26-24100-CE,BUY,65,83.9,92.6,565.5,60.0,5.74,499.76,SL HIT,996339.72
2026-06-29,2026-06-29T10:33:02.892022,2026-06-29T10:50:46.049519,NSE-NIFTY-30Jun26-24100-CE,BUY,65,95.4,77.35,-1173.25,60.0,5.61,-1238.86,SL HIT,992207.25
2026-06-29,2026-06-29T10:52:28.729671,2026-06-29T11:33:42.284470,NSE-NIFTY-30Jun26-24050-PE,SELL,65,73.3,91.45,-1179.75,60.0,5.35,-1245.1,SL HIT,989710.04
2026-06-29,2026-06-29T11:35:31.198970,2026-06-29T11:57:09.260172,NSE-NIFTY-30Jun26-24000-PE,SELL,65,65.1,83.0,-1163.5,60.0,4.81,-1228.31,SL HIT,987246.41
2026-06-29,2026-06-29T11:58:11.992209,2026-06-29T12:18:52.151774,NSE-NIFTY-30Jun26-24000-PE,SELL,65,74.8,92.65,-1160.25,60.0,5.44,-1225.69,SL HIT,984768.53
2026-06-29,2026-06-29T12:19:20.493266,2026-06-29T12:32:24.489812,NSE-NIFTY-30Jun26-23950-PE,SELL,65,68.3,87.15,-1225.25,60.0,5.05,-1290.3,SL HIT,982119.17
2026-06-29,2026-06-29T12:38:24.858073,2026-06-29T13:02:19.097908,NSE-NIFTY-30Jun26-23950-PE,SELL,65,92.7,84.3,546.0,60.0,5.75,480.25,SL HIT,984824.42
2026-06-29,2026-06-29T13:44:18.762273,2026-06-29T14:23:49.929531,NSE-NIFTY-30Jun26-23950-PE,SELL,65,88.1,75.55,815.75,60.0,5.32,750.43,SL HIT,986545.78
2026-06-30,2026-06-30T11:30:00.106844,2026-06-30T11:32:34.264185,NSE-NIFTY-30Jun26-23950-CE,BUY,65,69.4,51.35,-1173.25,60.0,3.92,-1237.17,SL HIT,996299.9
2026-06-30,2026-06-30T12:41:10.984497,2026-06-30T13:20:53.208877,NSE-NIFTY-30Jun26-23950-CE,BUY,65,43.9,25.05,-1225.25,60.0,2.24,-1287.49,SL HIT,993672.42
2026-07-02,2026-07-02T11:31:09.102821,2026-07-02T12:44:00.562168,NSE-NIFTY-07Jul26-24150-PE,SELL,65,155.9,124.55,2037.75,60.0,9.11,1968.64,SL HIT,1000445.62
2026-07-02,2026-07-02T13:00:07.644143,2026-07-02T13:37:37.831459,NSE-NIFTY-07Jul26-24150-PE,SELL,65,124.8,119.0,377.0,60.0,7.92,309.08,SL HIT,999379.77
2026-07-02,2026-07-02T14:26:27.558523,2026-07-02T14:42:54.208341,NSE-NIFTY-07Jul26-24200-CE,BUY,65,95.1,111.05,1036.75,60.0,6.7,970.05,SL HIT,1001008.17
2026-07-13,2026-07-13T09:37:16.084989,2026-07-13T09:43:47.149364,NSE-NIFTY-14Jul26-24050-CE,BUY,65,69.9,89.35,1264.25,60.0,5.18,1199.07,SL HIT,1001128.67
2026-07-13,2026-07-13T09:44:43.010841,2026-07-13T10:03:39.642615,NSE-NIFTY-14Jul26-24100-CE,BUY,65,65.4,87.0,1404.0,60.0,4.95,1339.05,SL HIT,1003842.01
2026-07-13,2026-07-13T10:23:04.905262,2026-07-13T10:30:14.024688,NSE-NIFTY-14Jul26-24100-CE,BUY,65,85.0,102.45,1134.25,60.0,6.09,1068.16,SL HIT,1005607.33
2026-07-13,2026-07-13T12:14:19.762075,2026-07-13T12:53:08.080167,NSE-NIFTY-14Jul26-24200-CE,BUY,65,84.7,123.15,2499.25,60.0,6.76,2432.49,SL HIT,1010917.54
